date,city,condition,temprature
06-02-2026,coimbatore,Clear,304.03
06-02-2026,ooty,Clouds,293.29
06-02-2026,madurai,Clouds,304.16
06-02-2026,bengaluru,Clear,300.66
06-02-2026,chennai,Clouds,302.33
06-02-2026,mumbai,Smoke,307.14
06-02-2026,delhi,Haze,296.2
06-02-2026,goa,Clear,33.21
